Morning_Care_Completed,Morning_Care_Delay_Mins,Uncleaned_Days,Season,Night_Cover,Quiz_Score,Chat_Score,Risk_Class
1,8,0,2,1,89,7,1
1,69,0,1,1,66,5,2
1,78,1,2,1,64,9,2
1,22,1,3,1,83,5,2
1,16,2,3,1,67,3,2
0,180,0,3,1,48,3,3
1,86,0,2,1,99,5,2
0,180,0,4,1,60,7,3
1,32,3,1,1,81,8,2
1,44,5,2,1,84,3,2
1,9,0,3,1,86,4,2
1,27,1,4,1,85,8,1
1,93,1,4,1,78,5,2
1,94,3,2,1,74,3,2
1,44,5,3,0,71,5,3
1,82,1,3,1,63,7,2
1,2,2,3,0,71,3,2
1,74,2,2,1,71,3,2
1,61,0,3,1,80,7,2
0,180,2,2,1,96,2,3
1,56,0,2,1,51,6,2
1,118,1,2,0,70,2,3
1,46,1,3,1,62,5,2
1,39,1,2,1,93,6,1
1,13,0,3,1,71,8,1
1,19,3,4,1,54,6,2
1,79,0,4,1,67,3,2
0,180,0,4,1,72,5,3
1,62,0,2,1,70,10,2
1,115,1,1,1,67,5,2
1,94,0,4,1,73,7,2
1,44,5,3,0,72,4,3
1,90,2,4,1,58,10,2
1,63,2,1,1,36,6,2
1,12,1,2,1,97,7,1
1,138,1,1,1,52,7,3
1,135,0,3,1,52,7,3
1,37,2,1,1,56,4,2
1,62,1,2,0,92,3,2
1,21,2,3,1,91,5,2
1,106,0,1,0,74,6,3
1,64,0,2,1,76,8,2
1,56,3,1,1,59,6,2
1,97,1,3,1,48,7,2
1,17,3,2,1,80,3,2
1,19,0,1,1,72,7,1
1,99,3,4,0,69,1,3
1,22,2,2,1,94,6,2
1,134,2,2,1,71,5,3
0,180,3,2,1,82,5,3
0,180,3,2,1,74,7,3
0,180,4,3,1,47,5,3
0,180,0,1,1,79,5,3
0,180,0,1,1,55,8,3
1,158,0,2,1,69,5,3
0,180,1,2,1,90,7,3
1,37,2,3,1,63,4,2
1,64,0,4,1,86,4,2
1,64,0,3,1,74,3,2
1,51,1,4,1,93,5,2
1,34,1,3,1,80,5,2
1,104,0,1,1,41,6,2
1,48,1,2,1,58,7,2
1,83,3,1,1,75,9,2
1,53,1,1,1,77,3,2
0,180,1,4,1,66,3,3
0,180,1,2,1,58,6,3
1,76,2,4,1,69,6,2
1,32,0,1,1,72,9,1
1,13,1,4,1,74,8,1
0,180,1,1,1,71,4,3
1,41,2,4,1,67,2,3
0,180,1,3,1,83,6,3
1,46,0,4,0,88,5,2
0,180,1,1,1,42,7,3
1,31,0,4,1,71,4,2
1,109,0,1,1,69,5,2
0,180,0,1,1,55,3,3
0,180,0,1,1,71,8,3
1,140,1,3,1,80,8,3
1,17,2,3,1,82,6,1
1,144,0,2,1,62,3,3
1,97,3,1,1,66,5,2
1,79,0,3,1,54,7,2
1,42,3,4,1,47,7,2
0,180,0,4,1,79,3,3
1,30,3,3,1,70,8,1
1,44,0,3,1,76,9,1
1,120,2,3,1,60,5,3
1,47,1,2,1,59,4,2
1,15,0,2,1,55,4,2
1,49,2,3,1,57,6,2
1,89,0,2,1,69,4,2
1,95,1,1,1,65,7,2
1,86,0,1,0,48,4,3
1,117,1,1,1,54,6,2
1,11,3,4,1,86,6,2
1,83,0,3,1,70,8,2
1,70,1,4,1,42,7,2
0,180,0,1,1,67,1,3
1,26,1,2,1,61,5,2
1,83,1,1,1,63,2,3
1,83,3,2,1,49,5,2
0,180,2,1,1,75,3,3
0,180,3,4,1,61,3,3
0,180,1,4,1,44,3,3
1,71,0,2,0,80,3,2
0,180,5,3,1,70,4,3
1,51,0,4,1,63,6,1
1,39,1,2,1,65,4,2
0,180,2,1,1,64,7,3
0,180,1,1,1,55,5,3
1,42,2,4,1,75,8,2
0,180,1,4,1,90,5,3
1,21,1,4,1,100,5,2
1,18,2,4,0,63,9,2
1,56,1,4,1,44,9,2
1,120,3,3,1,78,4,3
1,32,0,3,1,50,4,2
0,180,1,4,1,52,5,3
1,38,0,2,1,72,9,1
1,92,2,4,1,55,2,3
0,180,1,1,1,83,5,3
1,112,0,4,1,88,9,2
0,180,0,3,1,62,3,3
0,180,3,4,0,48,3,3
1,63,1,2,1,100,2,3
1,50,0,1,1,58,1,3
1,102,0,3,1,70,8,2
1,23,0,4,1,71,10,1
1,53,0,3,1,83,4,2
1,63,0,3,0,58,10,2
1,52,0,4,1,81,7,1
1,35,1,1,0,63,4,3
1,83,2,1,0,69,2,3
0,180,2,2,1,57,8,3
1,82,2,2,1,87,4,2
1,51,1,2,1,63,9,1
1,19,1,3,1,94,4,2
1,107,1,3,1,66,6,2
0,180,0,2,1,63,0,3
0,180,2,3,1,60,6,3
1,43,2,3,1,85,1,3
1,29,0,3,0,70,6,1
0,180,3,3,1,73,6,3
1,169,0,2,1,80,7,3
1,92,3,4,1,65,1,3
1,109,1,3,1,58,7,2
0,180,3,1,0,48,9,3
1,12,0,1,0,72,5,3
1,76,4,1,1,70,7,2
1,13,2,2,1,74,4,2
1,100,1,3,1,74,6,2
1,23,1,1,1,53,8,2
1,6,0,2,1,45,5,2
1,98,1,1,1,73,8,2
1,127,1,3,1,75,5,3
1,46,1,4,1,39,7,2
1,20,0,3,1,59,5,2
1,49,2,1,1,55,3,2
1,27,1,2,1,77,4,2
1,37,0,3,1,89,9,1
1,109,0,1,1,64,6,2
1,144,1,1,1,95,2,3
1,130,0,3,1,58,8,3
1,79,0,1,1,63,5,2
1,28,1,1,1,57,3,2
1,33,2,3,1,73,7,1
1,13,2,1,1,55,5,2
1,21,0,3,1,64,5,2
1,21,1,1,1,60,4,2
1,33,2,1,1,87,7,2
1,61,0,2,1,68,5,2
1,26,0,3,1,82,7,1
1,19,1,2,1,83,2,3
1,115,0,1,1,81,6,2
1,47,1,3,1,83,6,1
0,180,1,3,1,76,4,3
1,61,0,3,1,74,9,2
1,75,1,2,0,55,8,2
0,180,2,2,1,69,7,3
1,95,0,4,1,51,4,2
1,120,1,3,1,64,5,3
1,51,0,3,1,66,6,1
1,10,0,3,1,89,3,2
1,59,1,1,1,77,3,2
1,55,0,1,1,80,2,3
0,180,0,2,1,57,0,3
1,72,0,3,1,73,3,2
1,75,0,3,1,64,4,2
1,79,3,2,1,62,5,2
1,149,1,4,1,68,5,3
1,77,0,2,1,81,3,2
1,61,1,4,1,82,6,2
0,180,0,4,1,78,5,3
1,100,1,1,1,84,4,2
1,21,0,2,1,83,6,1
1,149,1,4,1,72,10,3
1,126,0,4,1,67,7,3
1,148,2,2,1,86,6,3
1,135,2,1,1,70,4,3
0,180,0,4,1,93,4,3
0,180,3,4,1,59,5,3
0,180,0,1,1,89,7,3
1,20,0,4,1,85,8,1
1,3,0,3,1,91,9,1
1,49,2,2,1,84,6,2
1,53,0,4,1,87,6,1
1,20,1,3,1,50,7,2
1,152,0,1,1,49,6,3
0,180,0,1,1,80,6,3
1,16,1,3,1,61,7,1
1,109,1,4,1,72,5,2
1,53,0,1,1,79,4,2
1,46,2,4,1,70,4,2
1,99,3,3,1,74,3,2
1,51,4,3,0,52,6,3
0,180,1,1,1,87,7,3
0,180,1,3,1,64,7,3
1,88,0,4,1,99,7,2
1,172,0,1,1,60,4,3
0,180,1,1,1,49,3,3
1,13,2,3,1,73,5,2
1,52,0,4,1,53,4,2
1,77,0,1,1,77,8,2
0,180,0,3,1,74,8,3
1,173,0,2,1,39,7,3
1,15,1,3,1,65,3,2
1,35,0,2,1,62,5,2
1,20,2,1,1,54,5,2
0,180,0,1,1,50,7,3
1,47,1,1,1,67,6,1
1,60,0,2,1,82,7,2
0,180,2,2,1,88,9,3
1,140,1,3,1,69,8,3
1,18,0,1,1,87,10,1
1,79,2,3,1,44,4,2
1,11,1,3,1,71,3,2
1,57,1,3,1,66,7,1
0,180,1,4,1,85,6,3
1,26,1,3,1,51,10,2
1,46,2,1,1,58,6,2
1,16,0,4,1,36,8,2
0,180,2,3,1,96,10,3
1,120,1,1,0,30,5,3
1,41,0,4,1,82,3,2
1,4,0,2,1,66,2,3
1,46,1,2,1,66,7,1
1,64,2,1,1,81,7,2
0,180,1,3,1,75,8,3
1,11,0,3,1,61,5,2
